id,selection_tier,query_raw,answer,bit_structured_formula_name,bit_structured_formula_prediction,bit_structured_formula_abstract_family,bit_structured_formula_abstract_support,bit_structured_formula_abstract_distinct_exact
69cbffdf,manual_audit_priority,11011000,00000010,"and(rol2,shr5)",00000010,"and(rol,shr)",11,8
aa2e26f1,manual_audit_priority,11100110,00001100,"and(rol1,shr3)",00001100,"and(rol,shr)",11,8
e55d1044,manual_audit_priority,10000100,00000010,"and(rol2,shr1)",00000010,"and(rol,shr)",11,8
0e7f299d,manual_audit_priority,00100101,01010010,"or(nibble_swap,shr6)",01010010,"or(nibble_swap,shr)",11,5
3dc918eb,manual_audit_priority,11010100,01101111,"or(nibble_swap,shr1)",01101111,"or(nibble_swap,shr)",11,5
0c2407ef,manual_audit_priority,10011111,11000011,"choose(shr2,shr3,ror2)",11000011,"choose(shr,shr,ror)",9,7
46ae00b4,manual_audit_priority,01110111,11100010,"choose(shr3,shr5,ror3)",11100010,"choose(shr,shr,ror)",9,7
679af1e1,manual_audit_priority,01101111,11000001,"choose(shr2,shr6,ror2)",11000001,"choose(shr,shr,ror)",9,7
6e2311e1,manual_audit_priority,11011001,10000000,"choose(shr1,shr6,ror1)",10000000,"choose(shr,shr,ror)",9,7
78cf1c8f,manual_audit_priority,01101000,00000100,"choose(shr3,shr4,ror3)",00000100,"choose(shr,shr,ror)",9,7
9cfc388d,manual_audit_priority,10111010,10100010,"choose(shl2,shl4,rol2)",10100010,"choose(shl,shl,rol)",9,7
c7be75f8,manual_audit_priority,00010110,01000000,"choose(shl2,shl5,rol2)",01000000,"choose(shl,shl,rol)",9,7
13f76716,manual_audit_priority,01000101,01111100,"xor(nibble_swap,shl3)",01111100,"xor(nibble_swap,shl)",9,6
733a819b,manual_audit_priority,10111100,00111011,"xor(nibble_swap,shl2)",00111011,"xor(nibble_swap,shl)",9,6
736ae137,manual_audit_priority,10111001,01001100,"and(rol3,ror2)",01001100,"and(rol,ror)",9,4
e52fb8bd,manual_audit_priority,11011101,00110011,"and(rol2,ror3)",00110011,"and(rol,ror)",9,4
105c8b72,manual_audit_priority,11110101,00100101,"xor(nibble_swap,shr1)",00100101,"xor(nibble_swap,shr)",9,3
3a72f760,manual_audit_priority,11011010,10101101,"or(nibble_swap,shl6)",10101101,"or(nibble_swap,shl)",6,4
7669569d,manual_audit_priority,00100110,01100010,"or(nibble_swap,shl7)",01100010,"or(nibble_swap,shl)",6,4
c4d2cf2c,manual_audit_priority,10110111,11000000,shl6,11000000,shl,6,4
cebaa9b5,manual_audit_priority,00110011,10011000,shl3,10011000,shl,6,4
e568d07b,manual_audit_priority,00010101,11110001,"or(nibble_swap,shl5)",11110001,"or(nibble_swap,shl)",6,4
24b60af3,manual_audit_priority,00010001,00000010,"choose(rol3,ror3,shr3)",00000010,"choose(rol,ror,shr)",5,3
4195699e,manual_audit_priority,11000111,01100000,"and(nibble_swap,shl5)",01100000,"and(nibble_swap,shl)",5,3
846176af,manual_audit_priority,01100111,01000000,"and(nibble_swap,shl6)",01000000,"and(nibble_swap,shl)",5,3
20924dd4,manual_audit_priority,00101011,10110000,"choose(shr4,shr5,nibble_swap)",10110000,"choose(shr,shr,nibble_swap)",4,3
751d48a2,manual_audit_priority,00000010,00100000,"choose(shr4,shr7,nibble_swap)",00100000,"choose(shr,shr,nibble_swap)",4,3
