v1_focus_bucket,selection_tier,rows,correct,accuracy
boolean_family,verified_trace_ready,60,30,0.5
dominant_structured_abstract,answer_only_keep,17,6,0.3529
dominant_structured_abstract,verified_trace_ready,73,27,0.3699
dominant_structured_safe,answer_only_keep,33,13,0.3939
dominant_structured_safe,verified_trace_ready,87,35,0.4023
no_solver_answer_only,answer_only_keep,70,18,0.2571
no_solver_manual,manual_audit_priority,40,3,0.075
rare_byte_transform,verified_trace_ready,11,11,1.0
rare_perm_independent,verified_trace_ready,7,3,0.4286
supported_affine_xor,verified_trace_ready,60,29,0.4833
supported_bijection,verified_trace_ready,50,44,0.88
supported_not_structured,answer_only_keep,30,0,0.0
supported_not_structured,verified_trace_ready,25,2,0.08
