scope,family,target_style,format_bucket,selection_reason,expected_policy,count
expected_policy,bit_manipulation,,,,boxed,1602
expected_policy,gravity_constant,,,,boxed,1597
expected_policy,roman_numeral,,,,boxed,1576
expected_policy,symbol_equation,,,,boxed,1313
expected_policy,symbol_equation,,,,final_answer,242
expected_policy,text_decryption,,,,boxed,1576
expected_policy,unit_conversion,,,,boxed,1594
teacher_trace,bit_manipulation,short,last_number_fallback,wrong_answer,boxed,4
teacher_trace,bit_manipulation,format_safe,last_number_fallback,wrong_answer,boxed,3
teacher_trace,bit_manipulation,answer_only,last_number_fallback,wrong_answer,boxed,1
